"question_topic","num_questions"
"","1442505"
"cattle","1109235"
"maize","1089323"
"chicken","1014128"
"plant","899225"
"tomato","545504"
"crop","528927"
"bean","386976"
"banana","310600"
"pig","277746"
"poultry","267620"
"potato","242033"
"animal","216966"
"cabbage","192772"
"goat","187465"
"coffee","161869"
"rabbit","153039"
"livestock","131050"
"wheat","125497"
"onion","115487"
"kale","101480"
"sheep","95735"
"watermelon","95454"
"tree","94290"
"plantain","77168"
"grass","75258"
"cassava","71664"
"tea","70986"
"peanut","67371"
"bee","64195"
"sugar-cane","57280"
"rice","56792"
"bird","56616"
"passion-fruit","51930"
"vegetable","51136"
"millet","50385"
"carrot","49641"
"sweet-potato","48807"
"fish","46218"
"duck","33704"
"melon","33427"
"dog","32721"
"orange","29847"
"aubergine","28756"
"mango","27375"
"olive","25567"
"avocado","23863"
"napier-grass","22736"
"pea","22338"
"soya","20507"
"pumpkin","19812"
"pigeon","17955"
"capsicum","17921"
"spinach","15746"
"paw-paw","14318"
"cotton","14191"
"pineapple","13792"
"apple","12831"
"turkey","12732"
"yam","12161"
"mushroom","11828"
"french-bean","11235"
"sunflower","11156"
"eucalyptus","10326"
"cowpea","10202"
"cat","9428"
"cereal","8033"
"tobacco","8004"
"camel","7886"
"pear","7056"
"greens","6643"
"garlic","6375"
"ginger","6248"
"cocoa","6239"
"taro","5513"
"beetroot","5350"
"clover","5099"
"mung-bean","5093"
"miraa","4829"
"macademia","3977"
"safflower","3260"
"butternut-squash","3254"
"lemon","3059"
"boma-rhodes","3034"
"chilli","3033"
"peach","2828"
"desmodium","2786"
"collard-greens","2786"
"jackfruit","2737"
"cucumber","2585"
"strawberry","2573"
"finger-millet","2400"
"pyrethrum","2318"
"tilapia","2291"
"coconut","2228"
"rapeseed","2065"
"okra","1959"
"sisal","1935"
"guinea-fowl","1804"
"lucern","1786"
"chia","1688"
"nightshade","1600"
"cyprus","1378"
"flax","1370"
"brachiaria-grass","1345"
"barley","1210"
"bamboo","1201"
"grape","1194"
"radish","1168"
"african-nightshade","1094"
"oat","1061"
"cashew-nut","1051"
"squash","1016"
"amaranth","969"
"ostrich","921"
"corriander","862"
"sesame","757"
"guava","688"
"locust","640"
"snow-pea","615"
"pigeon-pea","559"
"broccoli","541"
"guinea-pig","497"
"courgette","483"
"sudan-grass","444"
"lettuce","429"
"black-nightshade","416"
"cauliflower","380"
"chickpea","368"
"chard","367"
"parsley","301"
"gooseberry","267"
"leek","260"
"caliandra","183"
"acacia","176"
"asparagus","164"
"snap-pea","152"
"lupin","148"
"castor-bean","132"
"celery","129"
"vetch","125"
"leucaena","120"
"apricot","118"
"setaria","93"
"mulberry","55"
"blackberry","45"
"purple-vetch","34"
"rye","29"
"cranberry","5"